"year","month","fips_code","n"
2017,"March",47065,2
2017,"March",47093,2
2017,"March",47103,2
2017,"March",47157,10
2017,"March",48029,2
2017,"March",48041,2
2017,"March",48061,2
2017,"March",48113,8
2017,"March",48121,2
2017,"March",48141,3
2017,"March",48201,4
2017,"March",48303,2
2017,"March",48423,2
2017,"March",48439,3
2017,"March",48453,14
2017,"March",48485,2
2017,"March",49035,8
2017,"March",50007,3
2017,"March",50023,7
2017,"March",51015,2
2017,"March",51059,3
2017,"March",51510,3
2017,"March",51540,5
2017,"March",51600,2
2017,"March",51678,3
2017,"March",51680,2
2017,"March",51760,8
2017,"March",51790,2
2017,"March",51800,2
2017,"March",51810,5
2017,"March",51830,3
2017,"March",53005,3
2017,"March",53007,2
2017,"March",53011,6
2017,"March",53031,2
2017,"March",53033,12
2017,"March",53067,3
2017,"March",53073,10
2017,"March",54037,2
2017,"March",54039,3
2017,"March",54081,4
2017,"March",55025,7
2017,"March",55059,3
2017,"March",55063,3
2017,"March",55073,2
2017,"March",55079,10
2017,"March",55087,3
2017,"March",55097,3
2017,"March",55105,2
2017,"March",55117,3
2017,"March",55123,3
2017,"March",55127,3
2017,"March",56001,3
2017,"March",56029,3
2017,"March",72000,3
2017,"March",NA,5
2017,"April",1073,3
2017,"April",1077,4
2017,"April",1081,3
2017,"April",1089,3
2017,"April",1097,3
2017,"April",1101,3
2017,"April",2016,4
2017,"April",2020,5
2017,"April",2070,3
2017,"April",2090,8
2017,"April",2105,2
2017,"April",2110,3
2017,"April",2122,4
2017,"April",2130,2
2017,"April",2170,5
2017,"April",2185,2
2017,"April",2240,2
2017,"April",4003,8
2017,"April",4005,7
2017,"April",4013,24
2017,"April",4015,2
2017,"April",4017,3
2017,"April",4019,22
2017,"April",4027,2
2017,"April",5119,8
2017,"April",5131,2
2017,"April",5143,3
2017,"April",6001,29
2017,"April",6007,3
2017,"April",6013,5
2017,"April",6019,3
2017,"April",6023,3
2017,"April",6025,2
2017,"April",6029,7
2017,"April",6031,4
2017,"April",6035,2
2017,"April",6037,38
2017,"April",6041,2
2017,"April",6043,3
2017,"April",6045,5
2017,"April",6053,5
2017,"April",6057,6
2017,"April",6059,9
2017,"April",6061,4
2017,"April",6063,3
2017,"April",6065,14
2017,"April",6067,11
2017,"April",6071,4
2017,"April",6073,39
2017,"April",6075,26
2017,"April",6077,3
2017,"April",6079,15
2017,"April",6081,2
2017,"April",6083,10
2017,"April",6085,31
2017,"April",6087,7
2017,"April",6089,3
2017,"April",6095,2
2017,"April",6097,8
2017,"April",6099,5
2017,"April",6109,2
2017,"April",6111,5
2017,"April",8013,5
2017,"April",8031,15
2017,"April",8037,3
2017,"April",8041,11
2017,"April",8043,2
2017,"April",8045,3
2017,"April",8051,2
2017,"April",8067,2
2017,"April",8069,4
2017,"April",8077,3
2017,"April",8097,2
2017,"April",8101,2
2017,"April",8113,3
2017,"April",8117,3
2017,"April",9001,3
2017,"April",9003,21
2017,"April",9005,2
2017,"April",9009,24
2017,"April",9011,3
2017,"April",10001,3
2017,"April",10003,5
2017,"April",10005,3
2017,"April",11001,60
2017,"April",12001,5
2017,"April",12009,5
2017,"April",12011,5
2017,"April",12031,10
2017,"April",12033,6
2017,"April",12035,3
2017,"April",12057,4
2017,"April",12071,4
2017,"April",12073,8
2017,"April",12081,3
2017,"April",12085,2
2017,"April",12086,15
2017,"April",12091,3
2017,"April",12095,10
2017,"April",12099,13
2017,"April",12101,2
2017,"April",12103,8
2017,"April",12105,3
2017,"April",12109,3
2017,"April",12111,3
2017,"April",12115,8
2017,"April",12127,8
2017,"April",13031,2
2017,"April",13051,2
2017,"April",13059,5
2017,"April",13089,2
2017,"April",13121,8
2017,"April",13127,2
2017,"April",13185,6
2017,"April",13245,2
2017,"April",15001,17
2017,"April",15003,8
2017,"April",15007,2
2017,"April",15009,2
