"","county","count","year","month","state"
"248","CECIL","63667",2017,"11","MD"
"249","CHARLES","110001",2017,"11","MD"
"250","DORCHESTER","21254",2017,"11","MD"
"251","FREDERICK","169252",2017,"11","MD"
"252","GARRETT","19667",2017,"11","MD"
"253","HARFORD","178706",2017,"11","MD"
"254","HOWARD","213188",2017,"11","MD"
"255","KENT","12902",2017,"11","MD"
"256","MONTGOMERY","644298",2017,"11","MD"
"257","PR. GEORGE'S","573125",2017,"11","MD"
"258","QUEEN ANNE'S","35270",2017,"11","MD"
"259","ST. MARY'S","69451",2017,"11","MD"
"260","SOMERSET","12992",2017,"11","MD"
"261","TALBOT","27024",2017,"11","MD"
"262","WASHINGTON","94168",2017,"11","MD"
"263","WICOMICO","61357",2017,"11","MD"
"264","WORCESTER","38306",2017,"11","MD"
"265","ALLEGANY","43093",2017,"12","MD"
"266","ANNE ARUNDEL","382027",2017,"12","MD"
"267","BALTIMORE CITY","382142",2017,"12","MD"
"268","BALTIMORE CO.","547640",2017,"12","MD"
"269","CALVERT","64287",2017,"12","MD"
"270","CAROLINE","20082",2017,"12","MD"
"271","CARROLL","121154",2017,"12","MD"
"272","CECIL","63826",2017,"12","MD"
"273","CHARLES","109879",2017,"12","MD"
"274","DORCHESTER","21207",2017,"12","MD"
"275","FREDERICK","167898",2017,"12","MD"
"276","GARRETT","19644",2017,"12","MD"
"277","HARFORD","179054",2017,"12","MD"
"278","HOWARD","212283",2017,"12","MD"
"279","KENT","12937",2017,"12","MD"
"280","MONTGOMERY","644347",2017,"12","MD"
"281","PR. GEORGE'S","573629",2017,"12","MD"
"282","QUEEN ANNE'S","35230",2017,"12","MD"
"283","ST. MARY'S","69817",2017,"12","MD"
"284","SOMERSET","12998",2017,"12","MD"
"285","TALBOT","26818",2017,"12","MD"
"286","WASHINGTON","94278",2017,"12","MD"
"287","WICOMICO","61053",2017,"12","MD"
"288","WORCESTER","38276",2017,"12","MD"
"289","ALLEGANY","42986",2018,"01","MD"
"290","ANNE ARUNDEL","381771",2018,"01","MD"
"291","BALTIMORE CITY","382359",2018,"01","MD"
"292","BALTIMORE CO.","547826",2018,"01","MD"
"293","CALVERT","64444",2018,"01","MD"
"294","CAROLINE","20083",2018,"01","MD"
"295","CARROLL","121371",2018,"01","MD"
"296","CECIL","63903",2018,"01","MD"
"297","CHARLES","110650",2018,"01","MD"
"298","DORCHESTER","21248",2018,"01","MD"
"299","FREDERICK","168669",2018,"01","MD"
"300","GARRETT","19665",2018,"01","MD"
"301","HARFORD","179028",2018,"01","MD"
"302","HOWARD","211952",2018,"01","MD"
"303","KENT","12917",2018,"01","MD"
"304","MONTGOMERY","644179",2018,"01","MD"
"305","PR. GEORGE'S","570898",2018,"01","MD"
"306","QUEEN ANNE'S","35472",2018,"01","MD"
"307","ST. MARY'S","69835",2018,"01","MD"
"308","SOMERSET","13004",2018,"01","MD"
"309","TALBOT","26890",2018,"01","MD"
"310","WASHINGTON","94518",2018,"01","MD"
"311","WICOMICO","61094",2018,"01","MD"
"312","WORCESTER","38014",2018,"01","MD"
"313","ALLEGANY","43011",2018,"02","MD"
"314","ANNE ARUNDEL","382333",2018,"02","MD"
"315","BALTIMORE CITY","381503",2018,"02","MD"
"316","BALTIMORE CO.","548333",2018,"02","MD"
"317","CALVERT","64585",2018,"02","MD"
"318","CAROLINE","20075",2018,"02","MD"
"319","CARROLL","121464",2018,"02","MD"
"320","CECIL","64122",2018,"02","MD"
"321","CHARLES","110724",2018,"02","MD"
"322","DORCHESTER","21256",2018,"02","MD"
"323","FREDERICK","169100",2018,"02","MD"
"324","GARRETT","19701",2018,"02","MD"
"325","HARFORD","178984",2018,"02","MD"
"326","HOWARD","212224",2018,"02","MD"
"327","KENT","12943",2018,"02","MD"
"328","MONTGOMERY","644268",2018,"02","MD"
"329","PR. GEORGE'S","571864",2018,"02","MD"
"330","QUEEN ANNE'S","35514",2018,"02","MD"
"331","ST. MARY'S","70019",2018,"02","MD"
"332","SOMERSET","13009",2018,"02","MD"
"333","TALBOT","26868",2018,"02","MD"
"334","WASHINGTON","94581",2018,"02","MD"
"335","WICOMICO","61082",2018,"02","MD"
"336","WORCESTER","38106",2018,"02","MD"
"337","ALLEGANY","43008",2018,"03","MD"
"338","ANNE ARUNDEL","383585",2018,"03","MD"
"339","BALTIMORE CITY","381385",2018,"03","MD"
"340","BALTIMORE CO.","549414",2018,"03","MD"
"341","CALVERT","64626",2018,"03","MD"
"342","CAROLINE","20089",2018,"03","MD"
"343","CARROLL","121457",2018,"03","MD"
"344","CECIL","64214",2018,"03","MD"
"345","CHARLES","110917",2018,"03","MD"
"346","DORCHESTER","21270",2018,"03","MD"
"347","FREDERICK","169551",2018,"03","MD"
"348","GARRETT","19682",2018,"03","MD"
"349","HARFORD","179223",2018,"03","MD"
"350","HOWARD","212483",2018,"03","MD"
"351","KENT","12939",2018,"03","MD"
"352","MONTGOMERY","644112",2018,"03","MD"
"353","PR. GEORGE'S","571787",2018,"03","MD"
"354","QUEEN ANNE'S","35495",2018,"03","MD"
"355","ST. MARY'S","70174",2018,"03","MD"
"356","SOMERSET","13007",2018,"03","MD"
"357","TALBOT","26859",2018,"03","MD"
"358","WASHINGTON","94845",2018,"03","MD"
"359","WICOMICO","61097",2018,"03","MD"
"360","WORCESTER","38165",2018,"03","MD"
"361","ALLEGANY","43064",2018,"04","MD"
"362","ANNE ARUNDEL","384402",2018,"04","MD"
"363","BALTIMORE CITY","382322",2018,"04","MD"
"364","BALTIMORE CO.","550326",2018,"04","MD"
"365","CALVERT","64803",2018,"04","MD"
"366","CAROLINE","20163",2018,"04","MD"
"367","CARROLL","121669",2018,"04","MD"
"368","CECIL","64436",2018,"04","MD"
"369","CHARLES","111305",2018,"04","MD"
"370","DORCHESTER","21302",2018,"04","MD"
"371","FREDERICK","170113",2018,"04","MD"
"372","GARRETT","19736",2018,"04","MD"
"373","HARFORD","179493",2018,"04","MD"
"374","HOWARD","213077",2018,"04","MD"
"375","KENT","12967",2018,"04","MD"
"376","MONTGOMERY","645907",2018,"04","MD"
"377","PR. GEORGE'S","573475",2018,"04","MD"
"378","QUEEN ANNE'S","35549",2018,"04","MD"
"379","ST. MARY'S","70414",2018,"04","MD"
"380","SOMERSET","13041",2018,"04","MD"
"381","TALBOT","26921",2018,"04","MD"
"382","WASHINGTON","95169",2018,"04","MD"
"383","WICOMICO","61188",2018,"04","MD"
"384","WORCESTER","38273",2018,"04","MD"
"385","ALLEGANY","43160",2018,"05","MD"
"386","ANNE ARUNDEL","385379",2018,"05","MD"
"387","BALTIMORE CITY","384032",2018,"05","MD"
"388","BALTIMORE CO.","551331",2018,"05","MD"
"389","CALVERT","65025",2018,"05","MD"
"390","CAROLINE","20220",2018,"05","MD"
"391","CARROLL","121930",2018,"05","MD"
"392","CECIL","64807",2018,"05","MD"
"393","CHARLES","111723",2018,"05","MD"
"394","DORCHESTER","21339",2018,"05","MD"
"395","FREDERICK","170826",2018,"05","MD"
"396","GARRETT","19784",2018,"05","MD"
"397","HARFORD","179879",2018,"05","MD"
"398","HOWARD","213775",2018,"05","MD"
"399","KENT","13001",2018,"05","MD"
"400","MONTGOMERY","648540",2018,"05","MD"
"401","PR. GEORGE'S","575314",2018,"05","MD"
"402","QUEEN ANNE'S","35662",2018,"05","MD"
"403","ST. MARY'S","70715",2018,"05","MD"
"404","SOMERSET","13106",2018,"05","MD"
"405","TALBOT","27004",2018,"05","MD"
"406","WASHINGTON","95432",2018,"05","MD"
"407","WICOMICO","61356",2018,"05","MD"
"408","WORCESTER","38390",2018,"05","MD"
"409","ALLEGANY","43162",2018,"06","MD"
"410","ANNE ARUNDEL","385567",2018,"06","MD"
"411","BALTIMORE CITY","385277",2018,"06","MD"
"412","BALTIMORE CO.","552390",2018,"06","MD"
"413","CALVERT","65125",2018,"06","MD"
"414","CAROLINE","20223",2018,"06","MD"
"415","CARROLL","122021",2018,"06","MD"
"416","CECIL","64878",2018,"06","MD"
"417","CHARLES","111962",2018,"06","MD"
"418","DORCHESTER","21379",2018,"06","MD"
"419","FREDERICK","171075",2018,"06","MD"
"420","GARRETT","19795",2018,"06","MD"
"421","HARFORD","179950",2018,"06","MD"
"422","HOWARD","214150",2018,"06","MD"
"423","KENT","13028",2018,"06","MD"
"424","MONTGOMERY","649947",2018,"06","MD"
"425","PR. GEORGE'S","575995",2018,"06","MD"
"426","QUEEN ANNE'S","35709",2018,"06","MD"
"427","ST. MARY'S","70734",2018,"06","MD"
"428","SOMERSET","13135",2018,"06","MD"
"429","TALBOT","27013",2018,"06","MD"
"430","WASHINGTON","95447",2018,"06","MD"
"431","WICOMICO","61330",2018,"06","MD"
"432","WORCESTER","38462",2018,"06","MD"
"433","ALLEGANY","43082",2018,"07","MD"
"434","ANNE ARUNDEL","383553",2018,"07","MD"
"435","BALTIMORE CITY","383579",2018,"07","MD"
"436","BALTIMORE CO.","553791",2018,"07","MD"
"437","CALVERT","65545",2018,"07","MD"
"438","CAROLINE","20249",2018,"07","MD"
"439","CARROLL","122216",2018,"07","MD"
"440","CECIL","65066",2018,"07","MD"
"441","CHARLES","112249",2018,"07","MD"
"442","DORCHESTER","21343",2018,"07","MD"
"443","FREDERICK","172534",2018,"07","MD"
"444","GARRETT","19862",2018,"07","MD"
"445","HARFORD","179521",2018,"07","MD"
"446","HOWARD","215088",2018,"07","MD"
"447","KENT","13078",2018,"07","MD"
"448","MONTGOMERY","652031",2018,"07","MD"
"449","PR. GEORGE'S","576290",2018,"07","MD"
"450","QUEEN ANNE'S","35793",2018,"07","MD"
"451","ST. MARY'S","71096",2018,"07","MD"
"452","SOMERSET","13189",2018,"07","MD"
"453","TALBOT","27068",2018,"07","MD"
"454","WASHINGTON","95314",2018,"07","MD"
"455","WICOMICO","61378",2018,"07","MD"
"456","WORCESTER","38465",2018,"07","MD"
"457","ALLEGANY","43150",2018,"08","MD"
"458","ANNE ARUNDEL","386233",2018,"08","MD"
"459","BALTIMORE CITY","386040",2018,"08","MD"
"460","BALTIMORE CO.","553945",2018,"08","MD"
"461","CALVERT","65758",2018,"08","MD"
"462","CAROLINE","20352",2018,"08","MD"
"463","CARROLL","122274",2018,"08","MD"
"464","CECIL","65178",2018,"08","MD"
"465","CHARLES","112605",2018,"08","MD"
"466","DORCHESTER","21367",2018,"08","MD"
"467","FREDERICK","173593",2018,"08","MD"
"468","GARRETT","19850",2018,"08","MD"
"469","HARFORD","181228",2018,"08","MD"
"470","HOWARD","215763",2018,"08","MD"
"471","KENT","13072",2018,"08","MD"
"472","MONTGOMERY","652525",2018,"08","MD"
"473","PR. GEORGE'S","579452",2018,"08","MD"
"474","QUEEN ANNE'S","35925",2018,"08","MD"
"475","ST. MARY'S","70926",2018,"08","MD"
"476","SOMERSET","13209",2018,"08","MD"
"477","TALBOT","27109",2018,"08","MD"
"478","WASHINGTON","95511",2018,"08","MD"
"479","WICOMICO","61546",2018,"08","MD"
"480","WORCESTER","38705",2018,"08","MD"
"481","ALLEGANY","43298",2018,"09","MD"
"482","ANNE ARUNDEL","388185",2018,"09","MD"
"483","BALTIMORE CITY","387188",2018,"09","MD"
"484","BALTIMORE CO.","556310",2018,"09","MD"
"485","CALVERT","66051",2018,"09","MD"
"486","CAROLINE","20430",2018,"09","MD"
"487","CARROLL","122761",2018,"09","MD"
"488","CECIL","65514",2018,"09","MD"
"489","CHARLES","113144",2018,"09","MD"
"490","DORCHESTER","21468",2018,"09","MD"
"491","FREDERICK","174636",2018,"09","MD"
"492","GARRETT","19868",2018,"09","MD"
"493","HARFORD","182094",2018,"09","MD"
"494","HOWARD","216900",2018,"09","MD"
"495","KENT","13139",2018,"09","MD"
"496","MONTGOMERY","659414",2018,"09","MD"
"497","PR. GEORGE'S","580239",2018,"09","MD"
"498","QUEEN ANNE'S","36092",2018,"09","MD"
"499","ST. MARY'S","71298",2018,"09","MD"
"500","SOMERSET","13228",2018,"09","MD"
"501","TALBOT","27228",2018,"09","MD"
"502","WASHINGTON","96069",2018,"09","MD"
"503","WICOMICO","61837",2018,"09","MD"
"504","WORCESTER","38918",2018,"09","MD"
"505","ALLEGANY","43493",2018,"10","MD"
"506","ANNE ARUNDEL","390944",2018,"10","MD"
"507","BALTIMORE CITY","391486",2018,"10","MD"
"508","BALTIMORE CO.","560128",2018,"10","MD"
"509","CALVERT","66395",2018,"10","MD"
"510","CAROLINE","20506",2018,"10","MD"
"511","CARROLL","123142",2018,"10","MD"
"512","CECIL","65868",2018,"10","MD"
"513","CHARLES","113817",2018,"10","MD"
"514","DORCHESTER","21569",2018,"10","MD"
"515","FREDERICK","175960",2018,"10","MD"
"516","GARRETT","19940",2018,"10","MD"
"517","HARFORD","182928",2018,"10","MD"
"518","HOWARD","218805",2018,"10","MD"
"519","KENT","13250",2018,"10","MD"
"520","MONTGOMERY","666319",2018,"10","MD"
"521","PR. GEORGE'S","585034",2018,"10","MD"
"522","QUEEN ANNE'S","36214",2018,"10","MD"
"523","ST. MARY'S","71807",2018,"10","MD"
"524","SOMERSET","13266",2018,"10","MD"
"525","TALBOT","27370",2018,"10","MD"
"526","WASHINGTON","96465",2018,"10","MD"
"527","WICOMICO","62245",2018,"10","MD"
"528","WORCESTER","39167",2018,"10","MD"
"529","ALLEGANY","43298",2018,"11","MD"
"530","ANNE ARUNDEL","391821",2018,"11","MD"
"531","BALTIMORE CITY","392681",2018,"11","MD"
"532","BALTIMORE CO.","561512",2018,"11","MD"
"533","CALVERT","66878",2018,"11","MD"
"534","CAROLINE","20662",2018,"11","MD"
"535","CARROLL","123161",2018,"11","MD"
"536","CECIL","66416",2018,"11","MD"
"537","CHARLES","114674",2018,"11","MD"
"538","DORCHESTER","21668",2018,"11","MD"
"539","FREDERICK","177279",2018,"11","MD"
"540","GARRETT","20013",2018,"11","MD"
"541","HARFORD","183565",2018,"11","MD"
"542","HOWARD","219461",2018,"11","MD"
"543","KENT","13355",2018,"11","MD"
"544","MONTGOMERY","665664",2018,"11","MD"
"545","PR. GEORGE'S","588360",2018,"11","MD"
"546","QUEEN ANNE'S","36346",2018,"11","MD"
"547","ST. MARY'S","72404",2018,"11","MD"
"548","SOMERSET","13303",2018,"11","MD"
"549","TALBOT","27534",2018,"11","MD"
"550","WASHINGTON","97167",2018,"11","MD"
"551","WICOMICO","62343",2018,"11","MD"
"552","WORCESTER","39326",2018,"11","MD"
"553","ALLEGANY","43436",2018,"12","MD"
"554","ANNE ARUNDEL","394529",2018,"12","MD"
"555","BALTIMORE CITY","393029",2018,"12","MD"
"556","BALTIMORE CO.","561443",2018,"12","MD"
"557","CALVERT","66605",2018,"12","MD"
"558","CAROLINE","20495",2018,"12","MD"
"559","CARROLL","123565",2018,"12","MD"
"560","CECIL","66398",2018,"12","MD"
"561","CHARLES","114818",2018,"12","MD"
"562","DORCHESTER","21611",2018,"12","MD"
"563","FREDERICK","177016",2018,"12","MD"
"564","GARRETT","20006",2018,"12","MD"
"565","HARFORD","183711",2018,"12","MD"
"566","HOWARD","220609",2018,"12","MD"
"567","KENT","13232",2018,"12","MD"
"568","MONTGOMERY","670134",2018,"12","MD"
"569","PR. GEORGE'S","589433",2018,"12","MD"
"570","QUEEN ANNE'S","36364",2018,"12","MD"
"571","ST. MARY'S","71937",2018,"12","MD"
"572","SOMERSET","13307",2018,"12","MD"
"573","TALBOT","27291",2018,"12","MD"
"574","WASHINGTON","97010",2018,"12","MD"
"575","WICOMICO","62847",2018,"12","MD"
"576","WORCESTER","39280",2018,"12","MD"
"577","ALLEGANY","43207",2019,"01","MD"
"578","ANNE ARUNDEL","394837",2019,"01","MD"
"579","BALTIMORE CITY","395071",2019,"01","MD"
"580","BALTIMORE CO.","559738",2019,"01","MD"
"581","CALVERT","66090",2019,"01","MD"
"582","CAROLINE","20526",2019,"01","MD"
"583","CARROLL","123061",2019,"01","MD"
"584","CECIL","66524",2019,"01","MD"
"585","CHARLES","114806",2019,"01","MD"
"586","DORCHESTER","21627",2019,"01","MD"
"587","FREDERICK","177310",2019,"01","MD"
"588","GARRETT","19979",2019,"01","MD"
