"","year","month","fips_code","n"
"356",2017,"January",39009,2
"357",2017,"January",39023,1
"358",2017,"January",39027,1
"359",2017,"January",39035,5
"360",2017,"January",39041,2
"361",2017,"January",39049,10
"362",2017,"January",39057,2
"363",2017,"January",39061,5
"364",2017,"January",39083,1
"365",2017,"January",39095,2
"366",2017,"January",39109,2
"367",2017,"January",39113,5
"368",2017,"January",39115,1
"369",2017,"January",39123,2
"370",2017,"January",39133,2
"371",2017,"January",39141,2
"372",2017,"January",39169,2
"373",2017,"January",39173,2
"374",2017,"January",40027,3
"375",2017,"January",40109,2
"376",2017,"January",40119,2
"377",2017,"January",40143,2
"378",2017,"January",41001,1
"379",2017,"January",41003,2
"380",2017,"January",41005,2
"381",2017,"January",41007,5
"382",2017,"January",41011,3
"383",2017,"January",41015,4
"384",2017,"January",41017,2
"385",2017,"January",41019,1
"386",2017,"January",41025,1
"387",2017,"January",41027,2
"388",2017,"January",41029,2
"389",2017,"January",41033,1
"390",2017,"January",41035,2
"391",2017,"January",41039,16
"392",2017,"January",41041,2
"393",2017,"January",41047,5
"394",2017,"January",41051,36
"395",2017,"January",41057,2
"396",2017,"January",41059,2
"397",2017,"January",41061,2
"398",2017,"January",41063,3
"399",2017,"January",41065,2
"400",2017,"January",41071,2
"401",2017,"January",42003,13
"402",2017,"January",42007,2
"403",2017,"January",42011,2
"404",2017,"January",42013,1
"405",2017,"January",42015,1
"406",2017,"January",42017,4
"407",2017,"January",42021,1
"408",2017,"January",42027,6
"409",2017,"January",42029,2
"410",2017,"January",42031,1
"411",2017,"January",42037,1
"412",2017,"January",42043,7
"413",2017,"January",42049,5
"414",2017,"January",42063,2
"415",2017,"January",42071,5
"416",2017,"January",42075,1
"417",2017,"January",42079,3
"418",2017,"January",42085,2
"419",2017,"January",42091,1
"420",2017,"January",42095,5
"421",2017,"January",42101,18
"422",2017,"January",42109,2
"423",2017,"January",42119,2
"424",2017,"January",44003,3
"425",2017,"January",44005,10
"426",2017,"January",44007,8
"427",2017,"January",44009,1
"428",2017,"January",45019,7
"429",2017,"January",45045,5
"430",2017,"January",45077,2
"431",2017,"January",45079,5
"432",2017,"January",46005,1
"433",2017,"January",46027,2
"434",2017,"January",46065,2
"435",2017,"January",46099,2
"436",2017,"January",46103,4
"437",2017,"January",47001,12
"438",2017,"January",47037,15
"439",2017,"January",47065,4
"440",2017,"January",47093,2
"441",2017,"January",47141,3
"442",2017,"January",47149,1
"443",2017,"January",47157,5
"444",2017,"January",47179,2
"445",2017,"January",48029,5
"446",2017,"January",48041,4
"447",2017,"January",48043,1
"448",2017,"January",48061,2
"449",2017,"January",48113,8
"450",2017,"January",48121,2
"451",2017,"January",48141,4
"452",2017,"January",48183,2
"453",2017,"January",48201,13
"454",2017,"January",48245,2
"455",2017,"January",48303,6
"456",2017,"January",48323,1
"457",2017,"January",48329,1
"458",2017,"January",48347,2
"459",2017,"January",48355,1
"460",2017,"January",48361,2
"461",2017,"January",48375,2
"462",2017,"January",48377,3
"463",2017,"January",48439,2
"464",2017,"January",48441,2
"465",2017,"January",48453,14
"466",2017,"January",48485,2
"467",2017,"January",49005,1
"468",2017,"January",49019,2
"469",2017,"January",49025,2
"470",2017,"January",49035,10
"471",2017,"January",49037,1
"472",2017,"January",49043,5
"473",2017,"January",49053,3
"474",2017,"January",49057,2
"475",2017,"January",50003,3
"476",2017,"January",50005,1
"477",2017,"January",50007,8
"478",2017,"January",50019,1
"479",2017,"January",50021,4
"480",2017,"January",50023,5
"481",2017,"January",50025,2
"482",2017,"January",51001,1
"483",2017,"January",51013,4
"484",2017,"January",51059,1
"485",2017,"January",51063,2
"486",2017,"January",51107,9
"487",2017,"January",51171,2
"488",2017,"January",51510,1
"489",2017,"January",51540,11
"490",2017,"January",51600,2
"491",2017,"January",51710,10
"492",2017,"January",51760,11
"493",2017,"January",51770,2
"494",2017,"January",51790,5
"495",2017,"January",51810,3
"496",2017,"January",51830,2
"497",2017,"January",51840,2
"498",2017,"January",53005,2
"499",2017,"January",53007,5
"500",2017,"January",53009,5
"501",2017,"January",53011,2
"502",2017,"January",53015,2
"503",2017,"January",53025,2
"504",2017,"January",53027,2
"505",2017,"January",53029,2
"506",2017,"January",53031,2
"507",2017,"January",53033,28
"508",2017,"January",53035,3
"509",2017,"January",53037,2
"510",2017,"January",53045,1
"511",2017,"January",53047,2
"512",2017,"January",53053,3
"513",2017,"January",53055,7
"514",2017,"January",53057,4
"515",2017,"January",53063,5
"516",2017,"January",53067,10
"517",2017,"January",53069,1
"518",2017,"January",53071,5
"519",2017,"January",53073,9
"520",2017,"January",53077,2
"521",2017,"January",54027,1
"522",2017,"January",54039,2
"523",2017,"January",54049,3
"524",2017,"January",54093,1
"525",2017,"January",55007,2
"526",2017,"January",55009,4
"527",2017,"January",55025,2
"528",2017,"January",55033,2
"529",2017,"January",55035,2
"530",2017,"January",55051,1
"531",2017,"January",55055,2
"532",2017,"January",55059,1
"533",2017,"January",55063,2
"534",2017,"January",55073,2
"535",2017,"January",55079,9
"536",2017,"January",55085,2
"537",2017,"January",55087,1
"538",2017,"January",55103,1
"539",2017,"January",55117,4
"540",2017,"January",55123,1
"541",2017,"January",55125,1
"542",2017,"January",56001,1
"543",2017,"January",56013,2
"544",2017,"January",56021,2
"545",2017,"January",56025,2
"546",2017,"January",56029,2
"547",2017,"January",56035,2
"548",2017,"January",56037,2
"549",2017,"January",56039,2
"550",2017,"January",56041,1
"551",2017,"January",66000,2
"552",2017,"January",72000,8
"553",2017,"January",78000,8
"554",2017,"January",NA,3
"555",2017,"February",1081,3
"556",2017,"February",1125,2
"557",2017,"February",2020,9
"558",2017,"February",2110,2
"559",2017,"February",4003,8
"560",2017,"February",4005,4
"561",2017,"February",4013,35
"562",2017,"February",4019,26
"563",2017,"February",4025,3
"564",2017,"February",4027,3
"565",2017,"February",5007,2
"566",2017,"February",5143,5
"567",2017,"February",6001,9
"568",2017,"February",6007,2
"569",2017,"February",6013,2
"570",2017,"February",6019,12
"571",2017,"February",6029,5
"572",2017,"February",6037,50
"573",2017,"February",6045,2
"574",2017,"February",6053,3
"575",2017,"February",6055,7
"576",2017,"February",6059,22
"577",2017,"February",6061,3
"578",2017,"February",6065,10
"579",2017,"February",6067,15
"580",2017,"February",6073,29
"581",2017,"February",6075,34
"582",2017,"February",6079,14
"583",2017,"February",6081,5
"584",2017,"February",6085,26
"585",2017,"February",6111,5
"586",2017,"February",8013,8
"587",2017,"February",8031,38
"588",2017,"February",8041,8
"589",2017,"February",8067,2
"590",2017,"February",8069,3
"591",2017,"February",8085,2
"592",2017,"February",8101,2
"593",2017,"February",8107,2
"594",2017,"February",9001,10
"595",2017,"February",9003,11
"596",2017,"February",9009,10
"597",2017,"February",9013,5
"598",2017,"February",10001,8
"599",2017,"February",10003,3
"600",2017,"February",11001,73
"601",2017,"February",12001,8
"602",2017,"February",12009,6
"603",2017,"February",12011,3
"604",2017,"February",12021,3
"605",2017,"February",12033,2
"606",2017,"February",12057,11
"607",2017,"February",12071,4
"608",2017,"February",12073,9
"609",2017,"February",12083,4
"610",2017,"February",12086,12
"611",2017,"February",12095,9
"612",2017,"February",12099,21
"613",2017,"February",12103,5
"614",2017,"February",12109,7
"615",2017,"February",12115,3
"616",2017,"February",12127,8
"617",2017,"February",13067,5
"618",2017,"February",13121,12
"619",2017,"February",13133,3
"620",2017,"February",13135,7
"621",2017,"February",13187,3
"622",2017,"February",13245,4
"623",2017,"February",15001,8
"624",2017,"February",15003,5
"625",2017,"February",15007,5
"626",2017,"February",16001,6
"627",2017,"February",16019,3
"628",2017,"February",16057,3
"629",2017,"February",17019,5
"630",2017,"February",17029,2
"631",2017,"February",17031,31
"632",2017,"February",17077,3
"633",2017,"February",17089,5
"634",2017,"February",17097,3
"635",2017,"February",17113,3
"636",2017,"February",17143,6
"637",2017,"February",18003,9
"638",2017,"February",18039,4
"639",2017,"February",18097,14
"640",2017,"February",18105,3
"641",2017,"February",18127,3
"642",2017,"February",18141,2
"643",2017,"February",19013,6
"644",2017,"February",19033,2
"645",2017,"February",19103,18
"646",2017,"February",19153,11
"647",2017,"February",19155,2
"648",2017,"February",19169,3
"649",2017,"February",20161,3
"650",2017,"February",20173,3
"651",2017,"February",20177,3
"652",2017,"February",21005,3
"653",2017,"February",21067,12
"654",2017,"February",22007,2
"655",2017,"February",22033,7
"656",2017,"February",22071,2
"657",2017,"February",22103,3
"658",2017,"February",23005,11
"659",2017,"February",23007,8
"660",2017,"February",23011,8
"661",2017,"February",23015,3
"662",2017,"February",23025,2
"663",2017,"February",23031,2
"664",2017,"February",24003,10
"665",2017,"February",24005,2
"666",2017,"February",24021,11
"667",2017,"February",24025,4
"668",2017,"February",24033,2
"669",2017,"February",24510,28
"670",2017,"February",25003,2
"671",2017,"February",25011,6
"672",2017,"February",25013,4
"673",2017,"February",25015,8
"674",2017,"February",25025,21
"675",2017,"February",25027,8
"676",2017,"February",26049,3
"677",2017,"February",26065,3
"678",2017,"February",26073,2
"679",2017,"February",26075,4
"680",2017,"February",26077,9
"681",2017,"February",26081,17
"682",2017,"February",26093,7
"683",2017,"February",26099,5
"684",2017,"February",26125,9
"685",2017,"February",26161,16
"686",2017,"February",26163,19
"687",2017,"February",27013,8
