"","county","count","year","month","state"
"230","66 - Stone",10618,"2021","December","MS"
"231","67 - Sunflower",13252,"2021","December","MS"
"232","68 - Tallahatchie",9753,"2021","December","MS"
"233","69 - Tate",17530,"2021","December","MS"
"234","70 - Tippah",13790,"2021","December","MS"
"235","71 - Tishomingo",12726,"2021","December","MS"
"236","72 - Tunica",6233,"2021","December","MS"
"237","73 - Union",16259,"2021","December","MS"
"238","74 - Walthall",10056,"2021","December","MS"
"239","75 - Warren",26054,"2021","December","MS"
"240","76 - Washington",28420,"2021","December","MS"
"241","77 - Wayne",13310,"2021","December","MS"
"242","78 - Webster",6502,"2021","December","MS"
"243","79 - Wilkinson",6608,"2021","December","MS"
"244","80 - Winston",12178,"2021","December","MS"
"245","81 - Yalobusha",7842,"2021","December","MS"
"246","82 - Yazoo",19017,"2021","December","MS"
"247","01 - Adams",19785,"2021","February","MS"
"248","02 - Alcorn",24892,"2021","February","MS"
"249","03 - Amite",10105,"2021","February","MS"
"250","04 - Attala",12114,"2021","February","MS"
"251","05 - Benton",5943,"2021","February","MS"
"252","06 - Bolivar",23853,"2021","February","MS"
"253","07 - Calhoun",9363,"2021","February","MS"
"254","08 - Carroll",7342,"2021","February","MS"
"255","09 - Chickasaw",12038,"2021","February","MS"
"256","10 - Choctaw",4966,"2021","February","MS"
"257","11 - Claiborne",6512,"2021","February","MS"
"258","12 - Clarke",11708,"2021","February","MS"
"259","13 - Clay",13950,"2021","February","MS"
"260","14 - Coahoma",15704,"2021","February","MS"
"261","15 - Copiah",19863,"2021","February","MS"
"262","16 - Covington",14360,"2021","February","MS"
"263","17 - DeSoto",123417,"2021","February","MS"
"264","18 - Forrest",48069,"2021","February","MS"
"265","19 - Franklin",5929,"2021","February","MS"
"266","20 - George",15837,"2021","February","MS"
"267","21 - Greene",7533,"2021","February","MS"
"268","22 - Grenada",15499,"2021","February","MS"
"269","23 - Hancock",34995,"2021","February","MS"
"270","24 - Harrison",138727,"2021","February","MS"
"271","25 - Hinds",167245,"2021","February","MS"
"272","26 - Holmes",13169,"2021","February","MS"
"273","27 - Humphreys",6627,"2021","February","MS"
"274","28 - Issaquena",938,"2021","February","MS"
"275","29 - Itawamba",15757,"2021","February","MS"
"276","30 - Jackson",86500,"2021","February","MS"
"277","31 - Jasper",11547,"2021","February","MS"
"278","32 - Jefferson",5762,"2021","February","MS"
"279","33 - Jeff Davis",8661,"2021","February","MS"
"280","34 - Jones",45299,"2021","February","MS"
"281","35 - Kemper",7778,"2021","February","MS"
"282","36 - Lafayette",32396,"2021","February","MS"
"283","37 - Lamar",36850,"2021","February","MS"
"284","38 - Lauderdale",45623,"2021","February","MS"
"285","39 - Lawrence",8716,"2021","February","MS"
"286","40 - Leake",13743,"2021","February","MS"
"287","41 - Lee",52599,"2021","February","MS"
"288","42 - Leflore",21866,"2021","February","MS"
"289","43 - Lincoln",21857,"2021","February","MS"
"290","44 - Lowndes",40203,"2021","February","MS"
"291","45 - Madison",75661,"2021","February","MS"
"292","46 - Marion",16183,"2021","February","MS"
"293","47 - Marshall",24157,"2021","February","MS"
"294","48 - Monroe",25242,"2021","February","MS"
"295","49 - Montgomery",6379,"2021","February","MS"
"296","50 - Neshoba",17802,"2021","February","MS"
"297","51 - Newton",13828,"2021","February","MS"
"298","52 - Noxubee",7635,"2021","February","MS"
"299","53 - Oktibbeha",29951,"2021","February","MS"
"300","54 - Panola",22684,"2021","February","MS"
"301","55 - Pearl River",34612,"2021","February","MS"
"302","56 - Perry",8561,"2021","February","MS"
"303","57 - Pike",25016,"2021","February","MS"
"304","58 - Pontotoc",20252,"2021","February","MS"
"305","59 - Prentiss",14372,"2021","February","MS"
"306","60 - Quitman",4794,"2021","February","MS"
"307","61 - Rankin",97529,"2021","February","MS"
"308","62 - Scott",17434,"2021","February","MS"
"309","63 - Sharkey",3294,"2021","February","MS"
"310","64 - Simpson",17399,"2021","February","MS"
"311","65 - Smith",11517,"2021","February","MS"
"312","66 - Stone",10611,"2021","February","MS"
"313","67 - Sunflower",15079,"2021","February","MS"
"314","68 - Tallahatchie",9805,"2021","February","MS"
"315","69 - Tate",18137,"2021","February","MS"
"316","70 - Tippah",14152,"2021","February","MS"
"317","71 - Tishomingo",12772,"2021","February","MS"
"318","72 - Tunica",6544,"2021","February","MS"
"319","73 - Union",16694,"2021","February","MS"
"320","74 - Walthall",10246,"2021","February","MS"
"321","75 - Warren",27771,"2021","February","MS"
"322","76 - Washington",29433,"2021","February","MS"
"323","77 - Wayne",13581,"2021","February","MS"
"324","78 - Webster",7287,"2021","February","MS"
"325","79 - Wilkinson",6749,"2021","February","MS"
"326","80 - Winston",12352,"2021","February","MS"
"327","81 - Yalobusha",8974,"2021","February","MS"
"328","82 - Yazoo",19141,"2021","February","MS"
"329","01 - Adams",19790,"2021","January","MS"
"330","02 - Alcorn",24961,"2021","January","MS"
"331","03 - Amite",10149,"2021","January","MS"
"332","04 - Attala",12228,"2021","January","MS"
"333","05 - Benton",6167,"2021","January","MS"
"334","06 - Bolivar",23841,"2021","January","MS"
"335","07 - Calhoun",9378,"2021","January","MS"
"336","08 - Carroll",7340,"2021","January","MS"
"337","09 - Chickasaw",12061,"2021","January","MS"
"338","10 - Choctaw",5111,"2021","January","MS"
"339","11 - Claiborne",6605,"2021","January","MS"
"340","12 - Clarke",11756,"2021","January","MS"
"341","13 - Clay",14108,"2021","January","MS"
"342","14 - Coahoma",15717,"2021","January","MS"
"343","15 - Copiah",19912,"2021","January","MS"
"344","16 - Covington",14559,"2021","January","MS"
"345","17 - DeSoto",123436,"2021","January","MS"
"346","18 - Forrest",48017,"2021","January","MS"
"347","19 - Franklin",5989,"2021","January","MS"
"348","20 - George",15862,"2021","January","MS"
"349","21 - Greene",7540,"2021","January","MS"
"350","22 - Grenada",15668,"2021","January","MS"
"351","23 - Hancock",35089,"2021","January","MS"
"352","24 - Harrison",138264,"2021","January","MS"
"353","25 - Hinds",167555,"2021","January","MS"
"354","26 - Holmes",13224,"2021","January","MS"
"355","27 - Humphreys",6617,"2021","January","MS"
"356","28 - Issaquena",937,"2021","January","MS"
"357","29 - Itawamba",15714,"2021","January","MS"
"358","30 - Jackson",86784,"2021","January","MS"
"359","31 - Jasper",11598,"2021","January","MS"
"360","32 - Jefferson",5790,"2021","January","MS"
"361","33 - Jeff Davis",8677,"2021","January","MS"
"362","34 - Jones",45403,"2021","January","MS"
"363","35 - Kemper",7920,"2021","January","MS"
"364","36 - Lafayette",33143,"2021","January","MS"
"365","37 - Lamar",37086,"2021","January","MS"
"366","38 - Lauderdale",45770,"2021","January","MS"
"367","39 - Lawrence",8721,"2021","January","MS"
"368","40 - Leake",13768,"2021","January","MS"
"369","41 - Lee",52867,"2021","January","MS"
"370","42 - Leflore",22034,"2021","January","MS"
"371","43 - Lincoln",22033,"2021","January","MS"
"372","44 - Lowndes",41326,"2021","January","MS"
"373","45 - Madison",76218,"2021","January","MS"
"374","46 - Marion",16272,"2021","January","MS"
"375","47 - Marshall",24160,"2021","January","MS"
"376","48 - Monroe",25302,"2021","January","MS"
"377","49 - Montgomery",6544,"2021","January","MS"
"378","50 - Neshoba",17964,"2021","January","MS"
"379","51 - Newton",13935,"2021","January","MS"
"380","52 - Noxubee",7650,"2021","January","MS"
"381","53 - Oktibbeha",29979,"2021","January","MS"
"382","54 - Panola",23020,"2021","January","MS"
"383","55 - Pearl River",34485,"2021","January","MS"
"384","56 - Perry",8572,"2021","January","MS"
"385","57 - Pike",25050,"2021","January","MS"
"386","58 - Pontotoc",20932,"2021","January","MS"
"387","59 - Prentiss",14383,"2021","January","MS"
"388","60 - Quitman",4886,"2021","January","MS"
