"","county","count","month","year","state"
"170","BERGEN","590658","September","2017","NJ"
"171","BURLINGTON","308702","September","2017","NJ"
"172","CAMDEN","349398","September","2017","NJ"
"173","CAPE MAY","69949","September","2017","NJ"
"174","CUMBERLAND","89760","September","2017","NJ"
"175","ESSEX","488804","September","2017","NJ"
"176","GLOUCESTER","206989","September","2017","NJ"
"177","HUDSON","343348","September","2017","NJ"
"178","HUNTERDON","96031","September","2017","NJ"
"179","MERCER","232501","September","2017","NJ"
"180","MIDDLESEX","494670","September","2017","NJ"
"181","MONMOUTH","443965","September","2017","NJ"
"182","MORRIS","351291","September","2017","NJ"
"183","OCEAN","401690","September","2017","NJ"
"184","PASSAIC","303888","September","2017","NJ"
"185","SALEM","44101","September","2017","NJ"
"186","SOMERSET","224662","September","2017","NJ"
"187","SUSSEX","103536","September","2017","NJ"
"188","UNION","324500","September","2017","NJ"
"189","WARREN","73693","September","2017","NJ"
"190","ATLANTIC","179311","October","2017","NJ"
"191","BERGEN","591998","October","2017","NJ"
"192","BURLINGTON","309341","October","2017","NJ"
"193","CAMDEN","349932","October","2017","NJ"
"194","CAPE MAY","70097","October","2017","NJ"
"195","CUMBERLAND","89536","October","2017","NJ"
"196","ESSEX","489846","October","2017","NJ"
"197","GLOUCESTER","207363","October","2017","NJ"
"198","HUDSON","345823","October","2017","NJ"
"199","HUNTERDON","96279","October","2017","NJ"
"200","MERCER","232881","October","2017","NJ"
"201","MIDDLESEX","496243","October","2017","NJ"
"202","MONMOUTH","444715","October","2017","NJ"
"203","MORRIS","351910","October","2017","NJ"
"204","OCEAN","401987","October","2017","NJ"
"205","PASSAIC","304466","October","2017","NJ"
"206","SALEM","44209","October","2017","NJ"
"207","SOMERSET","225134","October","2017","NJ"
"208","SUSSEX","103522","October","2017","NJ"
"209","UNION","325277","October","2017","NJ"
"210","WARREN","73881","October","2017","NJ"
"211","ATLANTIC","180140","November","2017","NJ"
"212","BERGEN","593652","November","2017","NJ"
"213","BURLINGTON","310723","November","2017","NJ"
"214","CAMDEN","350689","November","2017","NJ"
"215","CAPE MAY","70312","November","2017","NJ"
"216","CUMBERLAND","89681","November","2017","NJ"
"217","ESSEX","491981","November","2017","NJ"
"218","GLOUCESTER","208014","November","2017","NJ"
"219","HUDSON","348211","November","2017","NJ"
"220","HUNTERDON","96525","November","2017","NJ"
"221","MERCER","233856","November","2017","NJ"
"222","MIDDLESEX","498145","November","2017","NJ"
"223","MONMOUTH","445857","November","2017","NJ"
"224","MORRIS","353223","November","2017","NJ"
"225","OCEAN","402549","November","2017","NJ"
"226","PASSAIC","305825","November","2017","NJ"
"227","SALEM","44261","November","2017","NJ"
"228","SOMERSET","226078","November","2017","NJ"
"229","SUSSEX","103861","November","2017","NJ"
"230","UNION","326347","November","2017","NJ"
"231","WARREN","74155","November","2017","NJ"
"232","ATLANTIC","180223","December","2017","NJ"
"233","BERGEN","593850","December","2017","NJ"
"234","BURLINGTON","311592","December","2017","NJ"
"235","CAMDEN","351621","December","2017","NJ"
"236","CAPE MAY","70413","December","2017","NJ"
"237","CUMBERLAND","89442","December","2017","NJ"
"238","ESSEX","491636","December","2017","NJ"
"239","GLOUCESTER","207641","December","2017","NJ"
"240","HUDSON","349159","December","2017","NJ"
"241","HUNTERDON","96954","December","2017","NJ"
"242","MERCER","234311","December","2017","NJ"
"243","MIDDLESEX","497749","December","2017","NJ"
"244","MONMOUTH","446899","December","2017","NJ"
"245","MORRIS","352911","December","2017","NJ"
"246","OCEAN","402959","December","2017","NJ"
"247","PASSAIC","306451","December","2017","NJ"
"248","SALEM","44400","December","2017","NJ"
"249","SOMERSET","225836","December","2017","NJ"
"250","SUSSEX","103726","December","2017","NJ"
"251","UNION","327500","December","2017","NJ"
"252","WARREN","74022","December","2017","NJ"
"253","ATLANTIC","180715","January","2018","NJ"
"254","BERGEN","593651","January","2018","NJ"
"255","BURLINGTON","312358","January","2018","NJ"
"256","CAMDEN","351955","January","2018","NJ"
"257","CAPE MAY","70454","January","2018","NJ"
"258","CUMBERLAND","89416","January","2018","NJ"
"259","ESSEX","492218","January","2018","NJ"
"260","GLOUCESTER","208204","January","2018","NJ"
"261","HUDSON","349799","January","2018","NJ"
"262","HUNTERDON","97147","January","2018","NJ"
"263","MERCER","235033","January","2018","NJ"
"264","MIDDLESEX","498652","January","2018","NJ"
"265","MONMOUTH","448206","January","2018","NJ"
"266","MORRIS","354923","January","2018","NJ"
"267","OCEAN","403250","January","2018","NJ"
"268","PASSAIC","306777","January","2018","NJ"
"269","SALEM","44463","January","2018","NJ"
"270","SOMERSET","227243","January","2018","NJ"
"271","SUSSEX","104169","January","2018","NJ"
"272","UNION","328526","January","2018","NJ"
"273","WARREN","74250","January","2018","NJ"
"274","ATLANTIC","180778","February","2018","NJ"
"275","BERGEN","594721","February","2018","NJ"
"276","BURLINGTON","312584","February","2018","NJ"
"277","CAMDEN","352037","February","2018","NJ"
"278","CAPE MAY","70420","February","2018","NJ"
"279","CUMBERLAND","89528","February","2018","NJ"
"280","ESSEX","493093","February","2018","NJ"
"281","GLOUCESTER","208523","February","2018","NJ"
"282","HUDSON","350160","February","2018","NJ"
"283","HUNTERDON","97129","February","2018","NJ"
"284","MERCER","235579","February","2018","NJ"
"285","MIDDLESEX","499366","February","2018","NJ"
"286","MONMOUTH","448259","February","2018","NJ"
"287","MORRIS","355196","February","2018","NJ"
"288","OCEAN","403745","February","2018","NJ"
"289","PASSAIC","307636","February","2018","NJ"
"290","SALEM","44352","February","2018","NJ"
"291","SOMERSET","227409","February","2018","NJ"
"292","SUSSEX","104296","February","2018","NJ"
"293","UNION","329143","February","2018","NJ"
"294","WARREN","74452","February","2018","NJ"
"295","ATLANTIC","180871","March","2018","NJ"
"296","BERGEN","597692","March","2018","NJ"
"297","BURLINGTON","312945","March","2018","NJ"
"298","CAMDEN","351929","March","2018","NJ"
"299","CAPE MAY","70478","March","2018","NJ"
"300","CUMBERLAND","90033","March","2018","NJ"
"301","ESSEX","495611","March","2018","NJ"
"302","GLOUCESTER","209023","March","2018","NJ"
"303","HUDSON","351280","March","2018","NJ"
"304","HUNTERDON","97208","March","2018","NJ"
"305","MERCER","236029","March","2018","NJ"
"306","MIDDLESEX","501611","March","2018","NJ"
"307","MONMOUTH","448413","March","2018","NJ"
"308","MORRIS","355533","March","2018","NJ"
"309","OCEAN","404232","March","2018","NJ"
"310","PASSAIC","307261","March","2018","NJ"
"311","SALEM","44379","March","2018","NJ"
