"","county","count","year","month","state"
"274","037  FRANKLIN","36570","2017","April","KY"
"275","038  FULTON","5475","2017","April","KY"
"276","039  GALLATIN","6364","2017","April","KY"
"277","040  GARRARD","13059","2017","April","KY"
"278","041  GRANT","17858","2017","April","KY"
"279","042  GRAVES","25430","2017","April","KY"
"280","043  GRAYSON","18177","2017","April","KY"
"281","044  GREEN","8742","2017","April","KY"
"282","045  GREENUP","29061","2017","April","KY"
"283","046  HANCOCK","6739","2017","April","KY"
"284","047  HARDIN","81142","2017","April","KY"
"285","048  HARLAN","20551","2017","April","KY"
"286","049  HARRISON","13493","2017","April","KY"
"287","050  HART","13250","2017","April","KY"
"288","051  HENDERSON","34939","2017","April","KY"
"289","052  HENRY","11938","2017","April","KY"
"290","053  HICKMAN","3732","2017","April","KY"
"291","054  HOPKINS","34699","2017","April","KY"
"292","055  JACKSON","9965","2017","April","KY"
"293","056  JEFFERSON","583654","2017","April","KY"
"294","057  JESSAMINE","39607","2017","April","KY"
"295","058  JOHNSON","17903","2017","April","KY"
"296","059  KENTON","129180","2017","April","KY"
"297","060  KNOTT","11218","2017","April","KY"
"298","061  KNOX","24096","2017","April","KY"
"299","062  LARUE","10435","2017","April","KY"
"300","063  LAUREL","46406","2017","April","KY"
"301","064  LAWRENCE","12473","2017","April","KY"
"302","065  LEE","5231","2017","April","KY"
"303","066  LESLIE","8505","2017","April","KY"
"304","067  LETCHER","16319","2017","April","KY"
"305","068  LEWIS","10149","2017","April","KY"
"306","069  LINCOLN","17962","2017","April","KY"
"307","070  LIVINGSTON","7644","2017","April","KY"
"308","071  LOGAN","17806","2017","April","KY"
"309","072  LYON","6409","2017","April","KY"
"310","073  MCCRACKEN","53890","2017","April","KY"
"311","074  MCCREARY","11140","2017","April","KY"
"312","075  MCLEAN","6970","2017","April","KY"
"313","076  MADISON","63830","2017","April","KY"
"314","077  MAGOFFIN","9940","2017","April","KY"
"315","078  MARION","13180","2017","April","KY"
"316","079  MARSHALL","25556","2017","April","KY"
"317","080  MARTIN","8193","2017","April","KY"
"318","081  MASON","13116","2017","April","KY"
"319","082  MEADE","21324","2017","April","KY"
"320","083  MENIFEE","5370","2017","April","KY"
"321","084  MERCER","17592","2017","April","KY"
"322","085  METCALFE","7745","2017","April","KY"
"323","086  MONROE","8569","2017","April","KY"
"324","087  MONTGOMERY","20266","2017","April","KY"
"325","088  MORGAN","9111","2017","April","KY"
"326","089  MUHLENBERG","22705","2017","April","KY"
"327","090  NELSON","33153","2017","April","KY"
"328","091  NICHOLAS","5440","2017","April","KY"
"329","092  OHIO","17536","2017","April","KY"
"330","093  OLDHAM","50749","2017","April","KY"
"331","094  OWEN","8112","2017","April","KY"
"332","095  OWSLEY","3548","2017","April","KY"
"333","096  PENDLETON","10344","2017","April","KY"
"334","097  PERRY","20580","2017","April","KY"
"335","098  PIKE","49063","2017","April","KY"
"336","099  POWELL","9858","2017","April","KY"
"337","100  PULASKI","47257","2017","April","KY"
"338","101  ROBERTSON","1730","2017","April","KY"
"339","102  ROCKCASTLE","12368","2017","April","KY"
"340","103  ROWAN","14740","2017","April","KY"
"341","104  RUSSELL","14004","2017","April","KY"
"342","105  SCOTT","39109","2017","April","KY"
"343","106  SHELBY","31730","2017","April","KY"
"344","107  SIMPSON","13633","2017","April","KY"
"345","108  SPENCER","14399","2017","April","KY"
"346","109  TAYLOR","18161","2017","April","KY"
"347","110  TODD","8400","2017","April","KY"
"348","111  TRIGG","11675","2017","April","KY"
"349","112  TRIMBLE","7226","2017","April","KY"
"350","113  UNION","10227","2017","April","KY"
"351","114  WARREN","80460","2017","April","KY"
"352","115  WASHINGTON","8723","2017","April","KY"
"353","116  WAYNE","14684","2017","April","KY"
"354","117  WEBSTER","9644","2017","April","KY"
"355","118  WHITLEY","26921","2017","April","KY"
"356","119  WOLFE","5576","2017","April","KY"
"357","120  WOODFORD","20610","2017","April","KY"
"358","002  ALLEN","14587","2017","May","KY"
"359","003  ANDERSON","17852","2017","May","KY"
"360","004  BALLARD","6392","2017","May","KY"
"361","005  BARREN","30935","2017","May","KY"
"362","006  BATH","9249","2017","May","KY"
"363","007  BELL","21067","2017","May","KY"
"364","008  BOONE","99799","2017","May","KY"
"365","009  BOURBON","14646","2017","May","KY"
"366","010  BOYD","39434","2017","May","KY"
"367","011  BOYLE","21696","2017","May","KY"
"368","012  BRACKEN","6354","2017","May","KY"
"369","013  BREATHITT","11632","2017","May","KY"
"370","014  BRECKINRIDGE","15072","2017","May","KY"
"371","015  BULLITT","58255","2017","May","KY"
"372","016  BUTLER","9415","2017","May","KY"
"373","017  CALDWELL","10062","2017","May","KY"
"374","018  CALLOWAY","29521","2017","May","KY"
"375","019  CAMPBELL","72319","2017","May","KY"
"376","020  CARLISLE","4023","2017","May","KY"
"377","021  CARROLL","7850","2017","May","KY"
"378","022  CARTER","19787","2017","May","KY"
"379","023  CASEY","10950","2017","May","KY"
"380","024  CHRISTIAN","50855","2017","May","KY"
"381","025  CLARK","28372","2017","May","KY"
"382","026  CLAY","14543","2017","May","KY"
"383","027  CLINTON","7492","2017","May","KY"
"384","028  CRITTENDEN","6686","2017","May","KY"
"385","029  CUMBERLAND","5352","2017","May","KY"
"386","030  DAVIESS","73044","2017","May","KY"
"387","031  EDMONSON","9082","2017","May","KY"
"388","032  ELLIOTT","5169","2017","May","KY"
"389","033  ESTILL","10505","2017","May","KY"
"390","034  FAYETTE","226268","2017","May","KY"
"391","035  FLEMING","10758","2017","May","KY"
"392","036  FLOYD","30331","2017","May","KY"
"393","037  FRANKLIN","36567","2017","May","KY"
"394","038  FULTON","5468","2017","May","KY"
"395","039  GALLATIN","6363","2017","May","KY"
"396","040  GARRARD","13059","2017","May","KY"
"397","041  GRANT","17884","2017","May","KY"
"398","042  GRAVES","25463","2017","May","KY"
"399","043  GRAYSON","18157","2017","May","KY"
"400","044  GREEN","8736","2017","May","KY"
"401","045  GREENUP","29056","2017","May","KY"
"402","046  HANCOCK","6730","2017","May","KY"
"403","047  HARDIN","81199","2017","May","KY"
"404","048  HARLAN","20537","2017","May","KY"
"405","049  HARRISON","13564","2017","May","KY"
"406","050  HART","13259","2017","May","KY"
"407","051  HENDERSON","34984","2017","May","KY"
"408","052  HENRY","11945","2017","May","KY"
"409","053  HICKMAN","3727","2017","May","KY"
"410","054  HOPKINS","34704","2017","May","KY"
"411","055  JACKSON","9975","2017","May","KY"
"412","056  JEFFERSON","583885","2017","May","KY"
"413","057  JESSAMINE","39705","2017","May","KY"
"414","058  JOHNSON","17886","2017","May","KY"
"415","059  KENTON","129376","2017","May","KY"
"416","060  KNOTT","11183","2017","May","KY"
"417","061  KNOX","24075","2017","May","KY"
"418","062  LARUE","10432","2017","May","KY"
"419","063  LAUREL","46457","2017","May","KY"
"420","064  LAWRENCE","12478","2017","May","KY"
"421","065  LEE","5220","2017","May","KY"
"422","066  LESLIE","8494","2017","May","KY"
"423","067  LETCHER","16293","2017","May","KY"
"424","068  LEWIS","10157","2017","May","KY"
"425","069  LINCOLN","18053","2017","May","KY"
"426","070  LIVINGSTON","7648","2017","May","KY"
"427","071  LOGAN","17814","2017","May","KY"
"428","072  LYON","6402","2017","May","KY"
"429","073  MCCRACKEN","53935","2017","May","KY"
"430","074  MCCREARY","11134","2017","May","KY"
"431","075  MCLEAN","6981","2017","May","KY"
"432","076  MADISON","63837","2017","May","KY"
"433","077  MAGOFFIN","9934","2017","May","KY"
"434","078  MARION","13186","2017","May","KY"
"435","079  MARSHALL","25507","2017","May","KY"
"436","080  MARTIN","8173","2017","May","KY"
"437","081  MASON","13126","2017","May","KY"
"438","082  MEADE","21369","2017","May","KY"
"439","083  MENIFEE","5374","2017","May","KY"
"440","084  MERCER","17601","2017","May","KY"
"441","085  METCALFE","7742","2017","May","KY"
"442","086  MONROE","8578","2017","May","KY"
"443","087  MONTGOMERY","20282","2017","May","KY"
"444","088  MORGAN","9098","2017","May","KY"
"445","089  MUHLENBERG","22715","2017","May","KY"
"446","090  NELSON","33145","2017","May","KY"
"447","091  NICHOLAS","5441","2017","May","KY"
"448","092  OHIO","17523","2017","May","KY"
"449","093  OLDHAM","50801","2017","May","KY"
